id,name,address,latitude,longitude,info,history,nickname
1,Mary Minahan McCormick Hall,"110 Reid St, De Pere, WI 54115",44.44625,-88.06524,x,x,3M
2,Gertrude S Bergstrom Hall,"150 Reid St, De Pere, WI 54115",44.44641,-88.06583,x,x,Berg
3,Madelaine and Lorraine  Hall,"190 Reid St, De Pere, WI 54115",44.44638417,-88.06647123,x,x,Madlor
4,Gehl-Mulva Science Center,"161 Reid St, De Pere, WI 54115",44.44589,-88.06563,x,x,GMS
5,Medical College of Wisconsin,"161 Reid St, De Pere, WI 54115",44.44553,-88.06527,x,x,MCW
6,St Joseph Hall,"103 Grant Street, De Pere, WI 54115",44.4447,-88.06538,x,x,St Joes
7,Old St joseph Church,"123 Grant St, De Pere, WI 54115",44.44499,-88.06584,x,x,St joes Church
8,Francis H Boyle Hall,"100 Grant St, De Pere, WI 54115",44.44485,-88.06643,x,x,Boyle
9,Heating Plant,"389 First St, De Pere, WI 54115",44.4443,-88.06594,x,x,Heating Plant
10,Main Hall,"400 First St, De Pere, WI 54115",44.44413,-88.06639,x,x,Main Hall
11,Ray Van Den Heuvel Family Campus Center,"419 First St, De Pere, WI 54115",44.44351,-88.0656,x,x,Campus Center
12,Frank J Sensenbrenner Hall,"120 Marsh St, De Pere, WI 54115",44.44399,-88.06696,x,x,Sensenbrenner
13,Dennis M Burke Hall,"100 Marsh St, De Pere, WI 54115",44.44265,-88.06632,x,x,Burke
14,Thomas and Maureen Manion Townhouse Village,"101 Marsh St, De Pere, WI 54115",44.44208,-88.06672,x,x,Townhouses
15,Ralph and Catherine Paulson Carriage,"151 Marsh St, De Pere, WI 54115",44.44219,-88.06714,x,x,Carriage House
16,Mulva Family Fitness & Sports Center,"601 3rd St, De Pere, WI 54115",44.44216,-88.0679,x,x,Mulva/Fitness Center
17,Victor McCormick Hall,"505 3rd St, De Pere, WI 54115",44.44286,-88.06774,x,x,VMC
18,Michels Commons,"405 3rd St, De Pere, WI 54115",44.44376,-88.06783,x,x,Caf/MC
19,Carol  and Robert Bush Art Center,"403 3rd St, De Pere, WI 54115",44.4439,-88.06833,x,x,Art Center
20,Abbot Pennings Hall of Fine Arts,"315 3rd St, De Pere, WI 54115",44.44459,-88.06809,x,x,Pennings
21,Todd Wehr Hall,"301 3rd St, De Pere, WI 54115",44.44479,-88.06767,x,x,Todd Wehr/Bookstore
22,F. K Bemis International Center,"299 3rd St, De Pere, WI 54115",44.44558,-88.06827,x,x,Bemis
23,Austin E Cofrin Hall,"251 Reid St, De Pere, WI 54115",44.44599,-88.06767,x,x,Cofrin
24,Pennings Activity Center,"290 Reid St, De Pere, WI 54115",44.4466,-88.06795,x,x,PAC
25,George F Kress Residence for Executive Education,"300 Grant St, De Pere, WI 54115",44.44569,-88.06905,x,x,Kress Inn
26,Cassandra Voss Center,"311 Grant St, De Pere, WI 54115",44.44524,-88.0689,x,x,CVC
27,Rev. Ignatius Francis Van Dyke Alumni House,"306 3rd St, De Pere, WI 54115",44.44492,-88.06883,x,x,Alumni House
28,Ariens Family Welcome Center,"300 College Ave, De Pere, WI 54115",44.4445,-88.06904,x,x,Welcome Center
29,The Miriam B. and James J. Mulva Library,"400 3rd St, De Pere, WI 54115",44.44384,-88.0689,x,x,Library
30,Grounds Facility,"320 Marsh St, De Pere, WI 54115",44.44312,-88.07015,x,x,Grounds Facility
31,"Fr. Eugene E. Gries, O.Praem Hall","620 3rd St, De Pere, WI 54115",44.44179,-88.06946,x,x,Gries
32,Dale and Ruth Michels Hall,"708 3rd St, De Pere, WI 54115",44.44096,-88.07025,x,x,Michels
33,Dudley Birder Hall,"400 Grant St, De Pere, WI 54115",44.44566,-88.07119,x,x,Birder
34,Roggenburg Hall,"406 Grant St, De Pere, WI 54115",44.44573,-88.07148,x,x,Roggenburg
35,Hugh Hall,"410 College Ave, De Pere, WI 54115",44.44489,-88.07182,x,x,Hugh
36,Doksany Hall,"419 Grant St, De Pere, WI 54115",44.44549,-88.07203,x,x,Doksany
37,Premontre Hall,"420 College Ave, De Pere, WI 54115",44.44499,-88.07234,x,x,Premontre
38,Xanten Hall,"436 College Ave, De Pere, WI 54115",44.44507,-88.07277,x,x,Xanten
